"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_forgot_password_link","tests.pytest","Thu Mar 12 14:25:21 UTC 2026","passed","Thu Mar 12 14:25:21 UTC 2026","TestUserInterface","test_markers","",""
"","3020","Edit course","LMS system","Thu Mar 12 14:25:20 UTC 2026","passed","Thu Mar 12 14:25:23 UTC 2026","Courses","Courses","",""
"","0","test_critical_login","tests.pytest","Thu Mar 12 14:25:21 UTC 2026","passed","Thu Mar 12 14:25:21 UTC 2026","","test_markers","",""
"","3624","User login with correct email and password","LMS system","Thu Mar 12 14:25:10 UTC 2026","passed","Thu Mar 12 14:25:14 UTC 2026","Authorization","Authentication","",""
"","1816","Registration with correct email, username and password","LMS system","Thu Mar 12 14:25:16 UTC 2026","passed","Thu Mar 12 14:25:18 UTC 2026","Registration","Authentication","",""
"","1619","Check displaying of empty courses list","LMS system","Thu Mar 12 14:25:14 UTC 2026","passed","Thu Mar 12 14:25:16 UTC 2026","Courses","Courses","",""
"","2113","User login with wrong email or password","LMS system","Thu Mar 12 14:25:07 UTC 2026","passed","Thu Mar 12 14:25:09 UTC 2026","Authorization","Authentication","",""
"","1450","Navigation from login page to registration page","LMS system","Thu Mar 12 14:25:14 UTC 2026","passed","Thu Mar 12 14:25:16 UTC 2026","Authorization","Authentication","",""
"","0","test_logout","tests.pytest","Thu Mar 12 14:25:21 UTC 2026","passed","Thu Mar 12 14:25:21 UTC 2026","TestUserAuthorization","test_markers","",""
"","1987","Check displaying of dashboard page","LMS system","Thu Mar 12 14:25:19 UTC 2026","passed","Thu Mar 12 14:25:21 UTC 2026","Dashboard","Dashboard","",""
"","1856","User login with wrong email or password","LMS system","Thu Mar 12 14:25:10 UTC 2026","passed","Thu Mar 12 14:25:12 UTC 2026","Authorization","Authentication","",""
"","0","test_regression_test","tests.pytest","Thu Mar 12 14:25:23 UTC 2026","passed","Thu Mar 12 14:25:23 UTC 2026","","test_markers","",""
"","0","test_login","tests.pytest","Thu Mar 12 14:25:21 UTC 2026","passed","Thu Mar 12 14:25:21 UTC 2026","TestUserAuthorization","test_markers","",""
"","2646","Create course","LMS system","Thu Mar 12 14:25:16 UTC 2026","passed","Thu Mar 12 14:25:19 UTC 2026","Courses","Courses","",""
"","1","test_password_reset","tests.pytest","Thu Mar 12 14:25:21 UTC 2026","passed","Thu Mar 12 14:25:21 UTC 2026","TestUserAuthorization","test_markers","",""
"","2114","User login with wrong email or password","LMS system","Thu Mar 12 14:25:07 UTC 2026","passed","Thu Mar 12 14:25:09 UTC 2026","Authorization","Authentication","",""
